iter	RMSE
192	0.3421209539
193	0.3419609787
194	0.3418944991
195	0.3418517208
196	0.3418471633
197	0.3418387399
198	0.3417708688
199	0.3416509999
200	0.3415754797
201	0.3414175531
202	0.3413145883
203	0.3412816626
204	0.3411811724
205	0.3410065743
206	0.3409303727
207	0.3409065563
208	0.3408961152
209	0.3408109991
210	0.340810255
211	0.3407599629
212	0.3407309835
213	0.34066195
214	0.3406119867
215	0.3405815172
216	0.3405806454
217	0.3405735582
218	0.3405375441
219	0.3405212491
220	0.3404772137
221	0.3404407512
222	0.3404321131
223	0.3403695573
224	0.3403504901
225	0.3402552217
226	0.3402121249
227	0.3402100874
228	0.3401786011
229	0.34010022
230	0.340019199
231	0.3399636046
232	0.3399026979
233	0.3398599352
234	0.3398158101
235	0.3397788052
236	0.339740088
237	0.3396985395
238	0.3396799796
239	0.3396536905
240	0.3396446509
241	0.3394524765
242	0.3394145142
243	0.339384673
244	0.3393415118
245	0.3391778966
246	0.3391207827
247	0.3390332825
248	0.338936606
249	0.3388473748
250	0.3388238775
251	0.3387627677
252	0.3387595928
253	0.3386988631
254	0.3386873108
255	0.3386220562
256	0.3386208796
257	0.3385541817
258	0.3385529536
259	0.3385422509
260	0.338462727
261	0.3384517742
262	0.338396945
263	0.3383731838
264	0.3383102209
265	0.3383083159
266	0.3382486388
267	0.3382416239
268	0.3381646571
269	0.3381385072
270	0.3379301247
271	0.3378580909
272	0.337853916
273	0.3378292593
274	0.3377742794
275	0.3377468868
276	0.3376825118
277	0.3376716281
278	0.3376374383
279	0.3376205506
280	0.3375223017
281	0.3374508835
282	0.3373901678
283	0.3373856263
284	0.3373275229
285	0.3373147637
286	0.3373138263
287	0.3372998603
288	0.3372804231
289	0.3372783048
290	0.3372049084
291	0.3371609675
292	0.3371271123
293	0.3370581123
294	0.3370145102
295	0.3370066717
296	0.3368786625
297	0.3368340673
298	0.3367206102
299	0.3366607475
300	0.3365916779
301	0.3365013359
302	0.3364876178
303	0.3364566178
304	0.3364541463
305	0.336400131
306	0.3363548137
307	0.336305853
308	0.3362664324
309	0.3362489043
310	0.3362098976
311	0.3361978856
312	0.3361377631
313	0.3359933563
314	0.3359751995
315	0.3358861166
316	0.3358587918
317	0.3358207635
318	0.3358144246
319	0.335744391
320	0.33565009
321	0.3355810207
322	0.3354991066
323	0.3354453643
324	0.3354436857
325	0.3354367681
326	0.3354324021
327	0.3353585167
328	0.335357561
329	0.3352820046
330	0.3352033663
331	0.3351384415
332	0.3351118327
333	0.3350835874
334	0.335083512
335	0.3350829979
336	0.3350318771
337	0.3350306966
338	0.3349665949
339	0.3349392923
340	0.3349383533
341	0.3348972906
342	0.3348472721
343	0.3347270316
344	0.3346963159
345	0.3345765282
346	0.3345471827
347	0.3345095155
348	0.3344498106
349	0.3344237608
